,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,FAM,,Unkn,,23342.523135907,,Unknown,Unassigned,False
,A02,FAM,,Unkn,,14933.3362410632,,Unknown,Unassigned,False
,A03,FAM,,Unkn,,5575.00458643929,,Unknown,Unassigned,False
,A04,FAM,,Unkn,,5596.94819187392,,Unknown,Unassigned,False
,A05,FAM,,Unkn,,5684.07500323543,,Unknown,Unassigned,False
,A06,FAM,,Unkn,,5687.83224320876,,Unknown,Unassigned,False
,A07,FAM,,Unkn,,5687.77257050172,,Unknown,Unassigned,False
,A08,FAM,,Unkn,,5600.3981866857,,Unknown,Unassigned,False
,A09,FAM,,Unkn,,5489.44926435229,,Unknown,Unassigned,False
,A10,FAM,,Unkn,,5364.73036156161,,Unknown,Unassigned,False
,A11,FAM,,Unkn,,5284.29405489736,,Unknown,Unassigned,False
,A12,FAM,,Unkn,,5163.23809012348,,Unknown,Unassigned,False
,B01,FAM,,Unkn,,24375.1963272821,,Unknown,Unassigned,False
,B02,FAM,,Unkn,,17227.5035416771,,Unknown,Unassigned,False
,B03,FAM,,Unkn,,5595.04904872443,,Unknown,Unassigned,False
,B04,FAM,,Unkn,,5554.53085376884,,Unknown,Unassigned,False
,B05,FAM,,Unkn,,5617.22042216251,,Unknown,Unassigned,False
,B06,FAM,,Unkn,,5673.09630750218,,Unknown,Unassigned,False
,B07,FAM,,Unkn,,5661.42230301096,,Unknown,Unassigned,False
,B08,FAM,,Unkn,,5550.86612036261,,Unknown,Unassigned,False
,B09,FAM,,Unkn,,5506.60807433355,,Unknown,Unassigned,False
,B10,FAM,,Unkn,,5487.92828169728,,Unknown,Unassigned,False
,B11,FAM,,Unkn,,5570.79795244168,,Unknown,Unassigned,False
,B12,FAM,,Unkn,,5259.58962930455,,Unknown,Unassigned,False
,C01,FAM,,Unkn,,25940.6928512663,,Unknown,Unassigned,False
,C02,FAM,,Unkn,,17571.7627752102,,Unknown,Unassigned,False
,C03,FAM,,Unkn,,5580.94926534137,,Unknown,Unassigned,False
,C04,FAM,,Unkn,,5538.83034321036,,Unknown,Unassigned,False
,C05,FAM,,Unkn,,5562.05493936027,,Unknown,Unassigned,False
,C06,FAM,,Unkn,,5709.30688393247,,Unknown,Unassigned,False
,C07,FAM,,Unkn,,5679.88720159138,,Unknown,Unassigned,False
,C08,FAM,,Unkn,,5549.42837283907,,Unknown,Unassigned,False
,C09,FAM,,Unkn,,5431.13071294361,,Unknown,Unassigned,False
,C10,FAM,,Unkn,,5419.85319505399,,Unknown,Unassigned,False
,C11,FAM,,Unkn,,5497.00275972941,,Unknown,Unassigned,False
,C12,FAM,,Unkn,,5383.59632961675,,Unknown,Unassigned,False
,D01,FAM,,Unkn,,27573.9101649644,,Unknown,Unassigned,False
,D02,FAM,,Unkn,,17093.0191636503,,Unknown,Unassigned,False
,D03,FAM,,Unkn,,5453.1051295187,,Unknown,Unassigned,False
,D04,FAM,,Unkn,,5459.59552167868,,Unknown,Unassigned,False
,D05,FAM,,Unkn,,5505.7002312867,,Unknown,Unassigned,False
,D06,FAM,,Unkn,,5472.76631483618,,Unknown,Unassigned,False
,D07,FAM,,Unkn,,5462.11632119955,,Unknown,Unassigned,False
,D08,FAM,,Unkn,,5516.91721598145,,Unknown,Unassigned,False
,D09,FAM,,Unkn,,5426.86310952971,,Unknown,Unassigned,False
,D10,FAM,,Unkn,,5350.39235957294,,Unknown,Unassigned,False
,D11,FAM,,Unkn,,5323.86351052224,,Unknown,Unassigned,False
,D12,FAM,,Unkn,,5219.97967440583,,Unknown,Unassigned,False
,E01,FAM,,Unkn,,28068.1280778041,,Unknown,Unassigned,False
,E02,FAM,,Unkn,,16912.7754027331,,Unknown,Unassigned,False
,E03,FAM,,Unkn,,5396.21318656787,,Unknown,Unassigned,False
,E04,FAM,,Unkn,,5395.06970137587,,Unknown,Unassigned,False
,E05,FAM,,Unkn,,5473.84738349884,,Unknown,Unassigned,False
,E06,FAM,,Unkn,,5428.78573673182,,Unknown,Unassigned,False
,E07,FAM,,Unkn,,5401.23708280393,,Unknown,Unassigned,False
,E08,FAM,,Unkn,,5355.79407078534,,Unknown,Unassigned,False
,E09,FAM,,Unkn,,5319.93826808404,,Unknown,Unassigned,False
,E10,FAM,,Unkn,,5308.80724721313,,Unknown,Unassigned,False
,E11,FAM,,Unkn,,5205.27474858854,,Unknown,Unassigned,False
,E12,FAM,,Unkn,,5143.36662425719,,Unknown,Unassigned,False
,F01,FAM,,Unkn,,20030.6164487616,,Unknown,Unassigned,False
,F02,FAM,,Unkn,,10084.9662162793,,Unknown,Unassigned,False
,F03,FAM,,Unkn,,5325.45490937398,,Unknown,Unassigned,False
,F04,FAM,,Unkn,,5262.53974448359,,Unknown,Unassigned,False
,F05,FAM,,Unkn,,5364.95701928918,,Unknown,Unassigned,False
,F06,FAM,,Unkn,,5372.85786837202,,Unknown,Unassigned,False
,F07,FAM,,Unkn,,5394.82122301426,,Unknown,Unassigned,False
,F08,FAM,,Unkn,,5293.58266111416,,Unknown,Unassigned,False
,F09,FAM,,Unkn,,5249.27475294139,,Unknown,Unassigned,False
,F10,FAM,,Unkn,,5237.79916789291,,Unknown,Unassigned,False
,F11,FAM,,Unkn,,5245.32630869307,,Unknown,Unassigned,False
,F12,FAM,,Unkn,,5080.67972709895,,Unknown,Unassigned,False
,G01,FAM,,Unkn,,20072.205094296,,Unknown,Unassigned,False
,G02,FAM,,Unkn,,10748.2963139326,,Unknown,Unassigned,False
,G03,FAM,,Unkn,,5385.77104725281,,Unknown,Unassigned,False
,G04,FAM,,Unkn,,5269.37102976014,,Unknown,Unassigned,False
,G05,FAM,,Unkn,,5351.67432709166,,Unknown,Unassigned,False
,G06,FAM,,Unkn,,5428.28065154947,,Unknown,Unassigned,False
,G07,FAM,,Unkn,,5533.76410167937,,Unknown,Unassigned,False
,G08,FAM,,Unkn,,5324.5311870915,,Unknown,Unassigned,False
,G09,FAM,,Unkn,,5217.4881717861,,Unknown,Unassigned,False
,G10,FAM,,Unkn,,5272.16870045791,,Unknown,Unassigned,False
,G11,FAM,,Unkn,,5234.85163888228,,Unknown,Unassigned,False
,G12,FAM,,Unkn,,5019.33116230027,,Unknown,Unassigned,False
,H01,FAM,,Unkn,,4643.88143459246,,Unknown,Unassigned,False
,H02,FAM,,Unkn,,4788.9234257141,,Unknown,Unassigned,False
,H03,FAM,,Unkn,,5188.41462528157,,Unknown,Unassigned,False
,H04,FAM,,Unkn,,5139.884705823,,Unknown,Unassigned,False
,H05,FAM,,Unkn,,5278.68495681257,,Unknown,Unassigned,False
,H06,FAM,,Unkn,,5304.0111629582,,Unknown,Unassigned,False
,H07,FAM,,Unkn,,5336.32774952153,,Unknown,Unassigned,False
,H08,FAM,,Unkn,,5255.30279734145,,Unknown,Unassigned,False
,H09,FAM,,Unkn,,5176.98371085916,,Unknown,Unassigned,False
,H10,FAM,,Unkn,,5080.43353333484,,Unknown,Unassigned,False
,H11,FAM,,Unkn,,5078.70655639342,,Unknown,Unassigned,False
,H12,FAM,,Unkn,,4937.04135421354,,Unknown,Unassigned,False
