,time,row_384,column_384,row_96,column_96,rfu_value,well,stock_conc,gRNA,target_added,signal_to_noise
23040,02:00:00,A,1,A,1,258.73400000000004,A1,100.0,12G,target added,1.0378253056509323
23042,02:00:00,C,1,B,1,249.304,B1,100.0,12G,no target,1.0
23044,02:00:00,E,1,C,1,850.541,C1,100.0,11B,target added,3.2222466367882894
23046,02:00:00,G,1,D,1,263.959,D1,100.0,11B,no target,1.0
23072,02:00:00,A,3,A,2,692.8439999999998,A2,50.0,12G,target added,3.5023784128075373
23074,02:00:00,C,3,B,2,197.821,B2,50.0,12G,no target,1.0
23076,02:00:00,E,3,C,2,1504.263,C2,50.0,11B,target added,7.475564544984693
23078,02:00:00,G,3,D,2,201.224,D2,50.0,11B,no target,1.0
23104,02:00:00,A,5,A,3,738.058,A3,25.0,12G,target added,5.6232133605583146
23106,02:00:00,C,5,B,3,131.252,B3,25.0,12G,no target,1.0
23108,02:00:00,E,5,C,3,872.123,C3,25.0,11B,target added,6.688111105146512
23110,02:00:00,G,5,D,3,130.399,D3,25.0,11B,no target,1.0
23136,02:00:00,A,7,A,4,160.231,A4,12.5,12G,target added,1.8298103166718052
23138,02:00:00,C,7,B,4,87.56700000000002,B4,12.5,12G,no target,1.0
23140,02:00:00,E,7,C,4,1012.276,C4,12.5,11B,target added,11.224314195107887
23142,02:00:00,G,7,D,4,90.186,D4,12.5,11B,no target,1.0
23168,02:00:00,A,9,A,5,299.569,A5,6.25,12G,target added,5.629514789341151
23170,02:00:00,C,9,B,5,53.214,B5,6.25,12G,no target,1.0
23172,02:00:00,E,9,C,5,744.051,C5,6.25,11B,target added,14.957302241431302
23174,02:00:00,G,9,D,5,49.745,D5,6.25,11B,no target,1.0
23200,02:00:00,A,11,A,6,230.107,A6,3.125,12G,target added,7.315434748052774
23202,02:00:00,C,11,B,6,31.455,B6,3.125,12G,no target,1.0
23204,02:00:00,E,11,C,6,350.149,C6,3.125,11B,target added,11.764968752099993
23206,02:00:00,G,11,D,6,29.762,D6,3.125,11B,no target,1.0
23232,02:00:00,A,13,A,7,81.765,A7,1.56,12G,target added,4.103844609516162
23234,02:00:00,C,13,B,7,19.924,B7,1.56,12G,no target,1.0
23236,02:00:00,E,13,C,7,163.57399999999996,C7,1.56,11B,target added,8.53815638375613
23238,02:00:00,G,13,D,7,19.158,D7,1.56,11B,no target,1.0
23264,02:00:00,A,15,A,8,36.459,A8,0.78,12G,target added,3.1816912470547174
23266,02:00:00,C,15,B,8,11.459,B8,0.78,12G,no target,1.0
23268,02:00:00,E,15,C,8,86.075,C8,0.78,11B,target added,8.620430645968954
23270,02:00:00,G,15,D,8,9.985,D8,0.78,11B,no target,1.0
23296,02:00:00,A,17,A,9,14.273,A9,0.39,12G,target added,2.0375446109921485
23298,02:00:00,C,17,B,9,7.005,B9,0.39,12G,no target,1.0
23300,02:00:00,E,17,C,9,21.827,C9,0.39,11B,target added,3.9779478767997087
23302,02:00:00,G,17,D,9,5.487,D9,0.39,11B,no target,1.0
23328,02:00:00,A,19,A,10,7.38,A10,0.195,12G,target added,1.5853920515574649
23330,02:00:00,C,19,B,10,4.655,B10,0.195,12G,no target,1.0
23332,02:00:00,E,19,C,10,8.426,C10,0.195,11B,target added,2.2884302009777295
23334,02:00:00,G,19,D,10,3.682,D10,0.195,11B,no target,1.0
23360,02:00:00,A,21,A,11,4.517,A11,0.0975,12G,target added,1.1735515718368408
23362,02:00:00,C,21,B,11,3.849,B11,0.0975,12G,no target,1.0
23364,02:00:00,E,21,C,11,5.1389999999999985,C11,0.0975,11B,target added,1.5381622268781796
23366,02:00:00,G,21,D,11,3.341,D11,0.0975,11B,no target,1.0
23392,02:00:00,A,23,A,12,3.212,A12,0.0,12G,target added,1.0235818992989165
23394,02:00:00,C,23,B,12,3.138,B12,0.0,12G,no target,1.0
23396,02:00:00,E,23,C,12,3.177,C12,0.0,11B,target added,0.9051282051282052
23398,02:00:00,G,23,D,12,3.51,D12,0.0,11B,no target,1.0
