,Well,End RFU,row,column,gRNA,temp
0,A01,23342.523135907002,A,01,11C,45.0
1,A02,14933.3362410632,A,02,11D,45.0
12,B01,24375.1963272821,B,01,11C,44.1
13,B02,17227.5035416771,B,02,11D,44.1
24,C01,25940.6928512663,C,01,11C,42.4
25,C02,17571.7627752102,C,02,11D,42.4
36,D01,27573.9101649644,D,01,11C,39.4
37,D02,17093.0191636503,D,02,11D,39.4
48,E01,28068.1280778041,E,01,11C,35.8
49,E02,16912.7754027331,E,02,11D,35.8
60,F01,20030.6164487616,F,01,11C,32.9
61,F02,10084.966216279301,F,02,11D,32.9
72,G01,20072.205094296,G,01,11C,30.9
73,G02,10748.2963139326,G,02,11D,30.9
84,H01,4643.88143459246,H,01,11C,30.0
85,H02,4788.9234257141,H,02,11D,30.0
